"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-04-29","22:00 EDT","POR","2","0.23","0.23","SD","0","1.24","1.24","2","-1.01","-1.01","2","0.46","2.24"
"2026-04-29","20:00 EDT","CHI","0","0.97","0.97","NJY","2","1.98","1.99","-2","-1.01","-1.02","-2","0.66","2.13"
"2026-04-29","19:00 EDT","WAS","1","1.54","1.54","LOU","0","0.40","0.41","1","1.14","1.13","1","2.35","0.41"
"2026-04-29","19:00 EDT","BOS","2","0.63","0.63","NC","2","2.00","2.11","0","-1.36","-1.48","0","0.41","2.40"
"2026-04-26","20:00 EDT","SEA","0","1.00","1.00","UTA","3","1.58","1.58","-3","-0.57","-0.58","-3","0.94","1.79"
"2026-04-26","18:00 EDT","LA","1","1.94","1.95","POR","2","0.98","0.98","-1","0.96","0.97","-1","2.12","0.68"
"2026-04-25","20:45 EDT","DEN","2","1.19","1.22","SD","2","0.84","0.84","0","0.35","0.38","-1","1.65","1.01"
"2026-04-25","20:00 EDT","HOU","0","1.57","1.57","NC","1","1.41","1.42","-1","0.15","0.16","-1","1.41","1.33"
"2026-04-25","18:30 EDT","CHI","2","0.68","0.68","BOS","0","2.66","2.74","2","-1.98","-2.06","2","0.27","2.60"
"2026-04-25","13:00 EDT","NJY","2","2.72","2.81","BAY","0","0.44","0.44","2","2.28","2.37","3","2.76","0.15"
"2026-04-24","20:00 EDT","WAS","4","2.07","2.14","KC","0","1.29","1.29","4","0.78","0.85","4","1.98","0.80"
"2026-04-24","17:30 EDT","LOU","3","1.11","1.12","ORL","2","2.48","2.56","1","-1.36","-1.44","1","0.56","2.26"
"2026-04-05","17:00 EDT","BAY","0","0.33","0.33","WAS","1","2.57","2.59","-1","-2.23","-2.26","-2","0.16","2.74"
"2026-04-04","20:45 EDT","SEA","0","1.45","1.47","DEN","0","1.19","1.19","0","0.26","0.28","0","1.62","1.12"
"2026-04-04","18:30 EDT","NC","2","1.26","1.26","POR","2","1.26","1.33","0","0.00","-0.07","0","1.32","1.41"
"2026-04-04","16:00 EDT","KC","2","1.88","1.88","NJY","1","1.04","1.05","1","0.84","0.83","1","2.00","0.76"
"2026-04-03","21:00 EDT","UTA","1","2.60","2.60","CHI","0","0.32","0.32","1","2.28","2.28","1","2.82","0.12"
"2026-04-03","20:30 EDT","HOU","4","3.35","3.45","LOU","3","2.76","2.76","1","0.59","0.69","1","1.84","0.92"
"2026-04-03","20:00 EDT","ORL","2","2.35","2.38","LA","1","0.85","0.86","1","1.50","1.52","1","2.43","0.40"
"2026-04-03","19:00 EDT","BOS","0","0.37","0.37","SD","1","0.44","0.44","-1","-0.07","-0.07","-1","1.22","1.28"
"2026-03-29","19:00 EDT","NJY","0","0.89","0.89","ORL","0","0.76","0.76","0","0.12","0.12","0","1.41","1.24"
"2026-03-28","20:45 EDT","SD","2","1.99","2.03","CHI","0","0.10","0.10","2","1.89","1.94","2","2.70","0.16"
"2026-03-28","19:00 EDT","NC","1","1.52","1.52","BAY","3","1.01","1.14","-2","0.51","0.37","-2","1.77","0.95"
"2026-03-28","18:30 EDT","SEA","2","0.63","0.63","LOU","1","1.75","1.78","1","-1.12","-1.15","1","0.57","2.19"
"2026-03-28","16:00 EDT","POR","2","2.54","2.58","KC","0","0.62","0.62","2","1.92","1.96","2","2.68","0.21"
"2026-03-28","14:00 EDT","DEN","0","0.82","0.82","WAS","0","0.68","0.68","0","0.13","0.13","0","1.38","1.25"
"2026-03-28","12:00 EDT","BOS","1","1.03","1.03","UTA","2","1.35","1.36","-1","-0.33","-0.34","-1","1.01","1.66"
"2026-03-27","22:00 EDT","LA","2","1.38","1.48","HOU","1","1.80","1.91","1","-0.42","-0.43","1","1.01","1.72"
"2026-03-25","22:00 EDT","SD","3","2.91","3.29","POR","1","1.28","1.35","2","1.63","1.94","2","2.28","0.55"
"2026-03-25","21:00 EDT","SEA","3","1.32","1.32","KC","0","0.36","0.36","3","0.95","0.96","3","2.20","0.55"
"2026-03-25","20:00 EDT","CHI","0","0.52","0.52","ORL","3","1.72","1.73","-3","-1.20","-1.21","-3","0.46","2.31"
"2026-03-25","19:00 EDT","WAS","1","3.36","3.42","UTA","1","1.74","1.74","0","1.62","1.68","0","2.31","0.54"
"2026-03-25","19:00 EDT","NJY","0","1.22","1.23","DEN","2","1.23","1.23","-2","-0.01","-0.01","-2","1.30","1.40"
"2026-03-22","19:00 EDT","UTA","1","0.80","0.80","SD","2","1.51","1.53","-1","-0.71","-0.72","-1","0.77","1.96"
"2026-03-22","14:00 EDT","CHI","2","0.89","0.89","KC","1","1.42","1.43","1","-0.53","-0.53","1","0.90","1.82"
"2026-03-21","20:45 EDT","BAY","1","0.94","0.95","LA","3","2.21","2.26","-2","-1.26","-1.30","-2","0.54","2.29"
"2026-03-21","18:30 EDT","NJY","0","0.83","0.83","NC","0","1.07","1.08","0","-0.25","-0.25","0","1.10","1.57"
"2026-03-21","16:00 EDT","HOU","3","2.42","2.42","BOS","0","0.48","0.49","3","1.94","1.94","3","2.72","0.19"
"2026-03-20","22:00 EDT","POR","2","1.02","1.04","SEA","0","1.44","1.46","2","-0.42","-0.42","2","1.00","1.74"
"2026-03-20","20:00 EDT","ORL","1","2.01","2.02","DEN","1","0.59","0.59","0","1.42","1.43","0","2.40","0.43"
"2026-03-20","20:00 EDT","LOU","2","0.60","0.61","WAS","2","1.53","1.57","0","-0.93","-0.95","0","0.57","2.18"
"2026-03-15","19:00 EDT","LA","4","1.27","1.27","CHI","0","0.42","0.43","4","0.86","0.85","4","2.09","0.61"
"2026-03-15","16:00 EDT","ORL","1","2.23","2.23","SEA","2","1.16","1.16","-1","1.06","1.07","-1","2.08","0.70"
"2026-03-14","20:45 EDT","SD","0","1.89","1.90","HOU","1","0.61","0.69","-1","1.27","1.21","-1","2.28","0.53"
"2026-03-14","19:00 EDT","NC","2","1.39","1.48","LOU","1","2.14","2.15","1","-0.74","-0.67","1","0.87","1.89"
"2026-03-14","18:30 EDT","BAY","2","2.36","2.38","DEN","1","0.75","0.75","1","1.61","1.63","1","2.47","0.37"
"2026-03-14","16:00 EDT","KC","2","1.52","1.52","UTA","1","0.94","0.94","1","0.58","0.58","1","1.77","0.95"
"2026-03-14","12:30 EDT","BOS","0","0.34","0.34","NJY","1","0.63","0.63","-1","-0.29","-0.29","-1","0.95","1.61"
"2026-03-13","20:00 EDT","WAS","0","1.13","1.13","POR","1","0.56","0.56","-1","0.57","0.56","-1","1.84","0.82"
